word,length,minimum_age
Antilles,8,6
antilope,8,6
Antin,5,5
antipode,8,6
antique,7,6
antiques,8,6
Antoine,7,6
Antonio,7,6
antonyme,8,6
anus,4,5
anxiete,7,6
anxieux,7,6
aorte,5,5
Aoun,4,5
aout,4,5
apaiser,7,6
apanage,7,6
apathie,7,6
apatride,8,6
apercu,6,5
aperitif,8,6
aphasie,7,6
aplanir,7,6
aplatir,7,6
aplomb,6,5
apogee,6,5
apollon,7,6
apologie,8,6
apotre,6,5
apparait,8,6
appareil,8,6
apparent,8,6
apparu,6,5
apparue,7,6
apparues,8,6
apparus,7,6
appel,5,5
appelait,8,6
appelant,8,6
appele,6,5
appelee,7,6
appelees,8,6
appeler,7,6
appeles,7,6
appelle,7,6
appels,6,5
appentis,8,6
appetit,7,6
appetits,8,6
applaudi,8,6
applique,8,6
applique,8,6
apport,6,5
apporte,7,6
apporte,7,6
apportee,8,6
apporter,8,6
apportes,8,6
apports,7,6
apposer,7,6
apprecie,8,6
apprecie,8,6
apprend,7,6
apprenti,8,6
appret,6,5
apprete,7,6
appreter,8,6
appris,6,5
approche,8,6
approche,8,6
approuve,8,6
approuve,8,6
appui,5,5
appuis,6,5
appuye,6,5
appuyee,7,6
appuyer,7,6
appuyes,7,6
apre,4,5
apres,5,5
aprete,6,5
apte,4,5
aptes,5,5
aptitude,8,6
aquilon,7,6
arabe,5,5
arabes,6,5
Arabie,6,5
arachide,8,6
Arafat,6,5
araignee,8,6
arbalete,8,6
arbitral,8,6
arbitre,7,6
arbre,5,5
arbres,6,5
arbuste,7,6
arc,3,5
Arcachon,8,6
arcade,6,5
arcades,7,6
arcane,6,5
arceau,6,5
archange,8,6
arche,5,5
archet,6,5
archipel,8,6
archives,8,6
archonte,8,6
Ardennes,8,6
ardent,6,5
ardeur,6,5
ardu,4,5
are,3,5
arene,5,5
arete,5,5
argent,6,5
argentan,8,6
argentin,8,6
Argentin,8,6
argile,6,5
argot,5,5
arguant,7,6
arguer,6,5
argument,8,6
aria,4,5
Ariane,6,5
arias,5,5
aride,5,5
Arizona,7,6
armada,6,5
Armand,6,5
armateur,8,6
armature,8,6
arme,4,5
arme,4,5
armee,5,5
armees,6,5
armement,8,6
Armenie,7,6
armenien,8,6
Armenien,8,6
armer,5,5
armes,5,5
armes,5,5
armoire,7,6
Arnaud,6,5
Arnault,7,6
aromates,8,6
arome,5,5
Aron,4,5
arpenter,8,6
arrache,7,6
arracher,8,6
arrange,7,6
arranger,8,6
arret,5,5
arrete,6,5
arrete,6,5
arretee,7,6
arretees,8,6
arreter,7,6
arretes,7,6
arretoir,8,6
arrets,6,5
arrhes,6,5
arriere,7,6
arriere,7,6
arrieres,8,6
arrieres,8,6
arrimer,7,6
arrivage,8,6
arrivait,8,6
arrivant,8,6
arrive,6,5
arrive,6,5
arrivee,7,6
arrivees,8,6
arrivent,8,6
arriver,7,6
arrives,7,6
arrogant,8,6
arrondi,7,6
arrose,6,5
arroser,7,6
arsenal,7,6
arsenic,7,6
art,3,5
"art huis",8,6
artere,6,5
artesien,8,6
arthrite,8,6
Arthur,6,5
article,7,6
articles,8,6
articule,8,6
artifice,8,6
artisan,7,6
artisans,8,6
artiste,7,6
artistes,8,6
arts,4,5
arythmie,8,6
as,2,5
asbeste,7,6
ascete,6,5
Asie,4,5
asile,5,5
asocial,7,6
aspect,6,5
aspects,7,6
asperge,7,6
asperger,8,6
asperges,8,6
asperite,8,6
asphalte,8,6
asphalte,8,6
asphyxie,8,6
aspic,5,5
aspirant,8,6
aspire,6,5
aspirent,8,6
aspirer,7,6
aspirine,8,6
assainir,8,6
assassin,8,6
assaut,6,5
assauts,7,6
asse,4,5
assecher,8,6
assemble,8,6
Assen,5,5
assener,7,6
asservi,7,6
asservir,8,6
assez,5,5
assez!,6,5
assieger,8,6
assiette,8,6
assigne,7,6
assigner,8,6
assimile,8,6
assimile,8,6
assis,5,5
assise,6,5
assises,7,6
assiste,7,6
assiste,7,6
assistee,8,6
assister,8,6
associe,7,6
associe,7,6
associee,8,6
associer,8,6
associes,8,6
assoiffe,8,6
assombri,8,6
assorti,7,6
assortie,8,6
assoupi,7,6
assouvi,7,6
assouvir,8,6
assume,6,5
assumer,7,6
assurait,8,6
assurant,8,6
assure,6,5
assure,6,5
assuree,7,6
assurees,8,6
assurent,8,6
assurer,7,6
assurera,8,6
assures,7,6
assureur,8,6
asthenie,8,6
asthme,6,5
astiquer,8,6
astrakan,8,6
astre,5,5
astuce,6,5
atavique,8,6
atavisme,8,6
atchoum,7,6
atelier,7,6
ateliers,8,6
athee,5,5
atheisme,8,6
Athenes,7,6
athlete,7,6
Atlanta,7,6
atlantes,8,6
atlas,5,5
atome,5,5
atomique,8,6
atonie,6,5
atout,5,5
atouts,6,5
atre,4,5
atroce,6,5
atrocite,8,6
atrophie,8,6
atropine,8,6
attache,7,6
attachee,8,6
attacher,8,6
attaches,8,6
Attali,6,5
attaque,7,6
attaque,7,6
attaquer,8,6
attaques,8,6
attaques,8,6
attarde,7,6
atteint,7,6
atteinte,8,6
atteints,8,6
atteler,7,6
attend,6,5
attendre,8,6
attendu,7,6
attendue,8,6
attendus,8,6
attentat,8,6
attente,7,6
attentes,8,6
attentif,8,6
atterrer,8,6
atterrir,8,6
attester,8,6
attife,6,5
attifer,7,6
attique,7,6
attirant,8,6
attire,6,5
attire,6,5
attirent,8,6
attirer,7,6
attires,7,6
attiser,7,6
attitude,8,6
attrait,7,6
attraper,8,6
